osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,3535433147,19.1021833,77.966213,,,,works,,,,,,,industrial-works.osm.pbf
node,3535442505,19.1031278,77.9709471,,,,works,,,,,,,industrial-works.osm.pbf
node,3535514834,19.1011456,77.9818355,,,,works,,,,,,,industrial-works.osm.pbf
node,3685917263,18.4440829,73.8210851,,industrial,,works,,,,,,,industrial-works.osm.pbf
node,3690979710,10.1807491,76.2250204,,,,works,,,,,,,industrial-works.osm.pbf
node,3730202056,10.7950584,78.7592487,,,,works,,,,,,,industrial-works.osm.pbf
node,3730202066,10.7946086,78.7601851,,,,works,,,,,,,industrial-works.osm.pbf
node,3908959018,9.8291066,76.4700943,,,,works,,,,,,,industrial-works.osm.pbf
node,3959977363,12.2866835,76.6435795,,,,works,,,,,,,industrial-works.osm.pbf
node,3972678475,28.691576,76.954694,,,,works,,,,,,,industrial-works.osm.pbf
